DOI,institution
10.1117/1.AP.6.5.056012,"Shanghai Jiao Tong Univ,Shandong Normal Univ"
10.1103/PhysRevApplied.20.044062,"C12 Quantum Elect,Univ Lorraine"
10.1103/PhysRevA.105.033519,"Moscow Inst Phys & Technol,Natl Univ Sci & Technol MISiS,Russian Quantum Ctr,Dukhov Res Inst Automat VNIIA,Russian Acad Sci,Karlsruhe Inst Technol,Natl Res Univ,HSE Univ,Bauman Moscow State Tech Univ"
10.1103/PhysRevLett.109.237601,McGill Univ
10.1103/PhysRevLett.131.013601,"Kagawa Univ,JST,Keio Univ,Natl Inst Informat & Commun Technol NICT,Natl Inst Informat & Commun Technol"
10.1088/0031-8949/91/7/073006,ETH
10.1103/PhysRevA.109.062202,"Univ Geneva,Natl Univ Singapore,Univ Turku"
10.1103/PhysRevA.100.043417,"US Army Res Lab,Inst Res Elect & Appl Phys,Texas A&M Univ,Georgia Tech Res Inst,Univ Massachusetts,Louisiana State Univ,Univ Maryland,NIST"
10.1103/PRXQuantum.5.030346,CALTECH
10.1038/nature13891,"Univ Calif Santa Barbara,Boston Univ,Google Inc"
10.1103/PRXQuantum.2.010324,"Los Alamos Natl Lab,Sandia Natl Labs"
10.1103/PhysRevLett.133.260604,"Karlsruhe Inst Technol,Stuttgart Univ,IQM Quantum Comp"
10.1038/s41467-019-13822-x,"Harvard Univ,CALTECH,Univ Texas Austin"
10.1039/c7nj01071k,Southern Fed Univ
10.1103/PRXQuantum.5.030302,Bluefors Oy
10.1103/PhysRevA.106.012441,"Univ Oxford,Univ Calif Berkeley"
10.1103/PhysRevB.92.035403,"Univ Basel,AGH Univ Sci & Technol"
10.1038/s41534-023-00770-0,"Fuzhou Univ,Chinese Acad Sci,Univ Chinese Acad Sci"
10.1088/1674-1056/26/9/094203,"Chinese Acad Sci,Zhejiang Univ,Univ Chinese Acad Sci,Univ Sci & Technol China"
10.1103/PhysRevA.110.012463,Hangzhou Normal Univ
10.1103/PhysRevA.100.012332,"Fuzhou Univ,Harbin Inst Technol"
10.1103/PhysRevA.106.062620,"Univ Southern Calif,NASA Ames Res Ctr,USRA Res Inst Adv Comp Sci RIACS,Univ New Mexico"
10.1038/s41598-018-19738-8,"Osaka Univ,Natl Inst Informat & Commun Technol NICT,Univ Tokyo"
10.1063/1.4903777,Syracuse Univ
10.1103/PhysRevA.93.042307,"RIKEN,Univ Michigan,Hangzhou Normal Univ,Fuzhou Univ"
10.1103/PhysRevLett.129.250502,"Sandia Natl Labs,Princeton Univ"
10.1007/s11128-017-1686-8,"Al Imam Mohammad Ibn Saud Islamic Univ IMSIU,Abdus Salam Int Ctr Theoret Phys"
10.1038/s41534-020-0269-1,"Lab Phys Sci,MIT"
10.1038/s41534-022-00614-3,"Alibaba Grp,Chinese Acad Sci,Songshan Lake Mat Lab,Alibaba Grp USA"
10.1103/PhysRevB.83.184510,Univ Grenoble 1
10.1103/PhysRevApplied.20.064016,"Aalto Univ,Princeton Univ,Tsinghua Univ"
10.3762/bjnano.6.199,"Moscow MV Lomonosov State Univ,Lukin Sci Res Inst Phys Problems,State Univ"
10.1103/PhysRevLett.121.123601,"Univ Queensland,Swiss Fed Inst Technol,Karlsruhe Inst Technol,Rhein Westfal TH Aachen,Univ Glasgow"
10.1063/1.4822436,"Univ Wisconsin,Univ Michigan"
10.1103/PhysRevB.96.045440,Univ Basel
10.1103/PhysRevB.107.085427,"Univ New South Wales,Diraq,Keio Univ,Tokyo Inst Technol,Otto Stern Weg 1"
10.1103/PhysRevApplied.17.034046,"Univ Sci & Technol China,Chinese Acad Sci"
10.1103/PhysRevLett.118.130501,"Univ Calif,Univ Copenhagen"
10.1364/OL.522770,"Sichuan Univ,Harbin Inst Technol,Quantum Sci Ctr Guangdong Hong Kong"
10.1088/2632-2153/ad88d5,"Univ Sherbrooke,IMEC,Natl Res Council Canada,Univ Waterloo,Perimeter Inst Theoret Phys"
10.1103/PhysRevLett.123.070505,"Univ Sci & Technol China,CAS Ctr Excellence Quantum Informat & Quantum Phy,Austrian Acad Sci,Univ Vienna"
10.1103/PhysRevLett.109.107201,"AGH Univ Sci & Technol,Univ Antwerp"
10.1103/PhysRevLett.128.160502,"Univ Sci & Technol China,Shanghai Res Ctr Quantum Sci,Chinese Acad Sci,Univ Chinese Acad Sci,RIKEN,Songshan Lake Mat Lab"
10.1063/5.0086751,"Univ Sci & Technol China,Tsinghua Univ,Hefei Univ Technol,Nanjing Univ"
10.1103/PhysRevLett.123.240401,"Aalto Univ,Univ Nacl Colombia"
10.1039/c3tc30800f,"Harbin Univ Sci & Technol,Hefei Univ Technol,Univ Nebraska"
10.1088/1367-2630/ab41ad,"Univ Kassel,Univ Turku,Aalto Univ,VTT Tech Res Ctr Finland,Loughborough Univ,Univ Ulm"
10.1038/NPHYS1710,"Yale Univ,Princeton Univ,Univ Waterloo"
10.1126/science.aaw3101,"Delft Univ Technol,Northwestern Univ"
10.1063/1.5049506,"Univ Sydney,Q CTRL Pty Ltd,Univ Calif Los Angeles,Hella Corp"
10.1103/PhysRevLett.131.110401,Univ Leeds
10.1103/PhysRevB.103.174103,"Natl Phys Lab,Chalmers Univ Technol,Royal Holloway Univ London"
10.1007/s10909-018-1857-8,"Univ Oulu,Aalto Univ"
10.1038/s41567-019-0652-z,"Washington Univ,Indiana Univ Purdue Univ Indianapolis,Inst Mat Sci & Engn"
10.1038/NPHYS1697,"CNRS,Univ Grenoble 1,LD Landau Theoret Phys Inst,Karlsruher Inst Technol"
10.1016/j.optcom.2016.01.024,Xi An Jiao Tong Univ
10.1038/s41565-018-0329-2,"MIT,Ecole Polytech,Natl Inst Mat Sci"
10.1088/2058-9565/ac5f5b,"Barcelona Inst Sci & Technol,Univ Maryland,Rice Univ,Univ Chicago"
10.1088/2058-9565/ac823a,Univ Strathclyde
10.1038/s41586-021-04076-z,"Univ Paris Saclay,Lawrence Berkeley Natl Lab"
10.1038/s41534-022-00522-6,Virginia Tech
10.1103/PhysRevA.101.032329,"Hangzhou Normal Univ,Nanjing Univ,RIKEN,Univ Michigan"
10.1364/OE.26.016250,"Yanbian Univ,Harbin Inst Technol"
10.1364/OPTICA.4.001006,"Univ Ottawa,Natl Res Council Canada,Max Planck Inst Phys Lichts,Univ Erlangen Nurnberg,Univ Rochester,Inst Adv Studies Basic Sci"
10.1103/PhysRevLett.120.050507,"Zhejiang Univ,Chinese Acad Sci,Univ Chinese Acad Sci,Univ Sci & Technol China"
10.1017/S0022377824001326,"Univ Colorado Boulder,Rigetti Comp,Univ Southern Calif,Lawrence Livermore Natl Lab"
10.1103/PhysRevLett.106.027402,Univ Sheffield
10.1039/d0sc01187h,Univ Valencia
10.1103/PhysRevE.107.044121,Dalian Univ Technol
10.1103/PhysRevB.108.155433,Univ Basel
10.1002/adts.202100254,"Univ Chicago,Argonne Natl Lab"
10.1142/S2010324713500070,"Kafr Elsheikh Univ,Umm Al Qura Univ,Ain Shams Univ"
10.1038/s41586-020-2441-3,"MIT,Sandia Natl Labs,Univ Calif Berkeley"
10.1103/PhysRevA.101.052326,"Univ Tecnol Fed Parana UTFPR,Univ Fed Fluminense,Abdus Salaam Int Ctr Theoret Phys,Donostia Int Phys Ctr,Ikerbasque Fdn Sci,Austrian Acad Sci"
10.1103/PhysRevLett.133.260601,"Univ Maryland,Univ Calif Los Angeles"
10.1021/acsphotonics.6b00576,Bilkent Univ
10.1103/PhysRevA.101.052107,"Univ KwaZulu Natal,NASA,USRA Res Inst Adv Comp Sci RIACS,Nicolaus Copernicus Univ,KwaZulu Natal,Stellenbosch Univ"
10.1364/OE.464550,"Univ Illinois,Peraton,NASA,Tulane Univ,DEVCOM Army Res Lab"
10.1103/PhysRevApplied.21.014034,"Harvard Univ,Delft Univ Technol,Virginia Tech,AWS Ctr Quantum Networking"
10.1063/5.0139825,"Univ Basel,IBM Res Europe Zurich,UCL"
10.1103/PhysRevB.89.045432,"Univ Sci & Technol China,Univ New S Wales"
10.1103/PhysRevA.109.012406,"Univ Sci & Technol China,Imperial Coll London,Res Ctr Quantum Sensing,Univ Copenhagen,Tech Univ Denmark"
10.1126/science.1239584,"Simon Fraser Univ,Univ Oxford,Leibniz Inst Kristallzuchtung,PTB Braunschweig,VITCON Projectconsult,UCL"
10.1364/JOSAB.33.000804,"Univ Sci & Technol Beijing,Beijing Normal Univ"
10.1103/PhysRevLett.130.090801,"Tech Univ Dortmund,Quantum Brilliance GmbH"
10.1103/PRXQuantum.2.040355,"Univ Sherbrooke,Univ Calif Berkeley,Lawrence Berkeley Natl Lab,Canadian Inst Adv Res"
10.1103/PhysRevB.105.205435,Univ New South Wales
10.1364/OL.40.001133,Huazhong Univ Sci & Technol
10.1038/srep08102,Nankai Univ
10.1103/PhysRevB.82.165101,"Harvard Univ,Univ Calif Berkeley,Boston Univ,Paul Scherrer Inst"
10.1103/PhysRevA.109.022442,"Dalian Minzu Univ,Dalian Univ Technol,Shangrao Normal Univ,Hangzhou Normal Univ"
10.1016/j.physleta.2019.01.063,Istanbul Tech Univ
10.1103/PhysRevB.94.184503,Aalto Univ
10.1103/PhysRevA.102.022214,"Beijing Computat Sci Res Ctr,Southeast Univ"
10.1126/science.abc7821,Princeton Univ
10.1103/PhysRevA.85.013823,"Natl Univ Singapore,Univ Innsbruck"
10.1103/PhysRevA.85.053841,"Koc Univ,CALTECH"
10.1063/5.0151029,"Polish Acad Sci,Forschungszentrum Julich,Rhein Westfal TH Aachen,Leiden Univ"
10.1103/PhysRevA.91.042329,"NTT Corp,Chinese Acad Sci,Osaka Univ,Natl Inst Informat,Natl Inst Informat & Commun Technol"
10.1103/PhysRevB.94.165302,"Univ Fed Minas Gerais,DISSE INCT Nanodisposit Semicond,Univ Pavia,Univ Fed Rio de Janeiro"
10.1103/PRXQuantum.5.040323,"Natl Inst Stand & Technol,Univ Colorado,Pacific Northwest Natl Lab,Univ Milano Bicocca,Ctr Coll Danville,Amazon Web Serv Ctr Quantum Comp"
10.1103/PhysRevB.109.245110,"Ludwig Maximilians Univ Munchen,Munich Ctr Quantum Sci & Technol MCQST"
10.1119/1.4735707,Univ Maryland
10.3389/fphy.2022.880117,"Qufu Normal Univ,Hubei Univ Technol"
10.1103/PhysRevLett.109.147206,Macquarie Univ
10.1038/s41534-020-0281-5,"Max Planck Inst Quantum Opt,Ludwig Maximilians Univ Munchen,Munich Ctr Quantum Sci & Technol MCQST,Univ Gdansk,Nanyang Technol Univ,Natl Univ Singapore,Imperial Coll London"
10.1038/s41534-022-00577-5,"Tech Univ Denmark,Palacky Univ"
10.1364/OPTICA.408611,"Univ Washington,Princeton Univ,Humboldt Univ"
10.1109/TCAD.2021.3057583,"Delft Univ Technol,UCL,HITEC Univ"
10.1103/PhysRevApplied.15.044026,"Univ Chicago,AWS Ctr Quantum Comp,Yale Univ"
10.1038/s41566-024-01524-w,Hebrew Univ Jerusalem
10.1103/PhysRevB.108.075107,"Lund Univ,Barcelona Inst Sci & Technol,PSL Univ,Southern Univ Sci & Technol,Sorbonne Univ,ICREA Inst Catalana Recerca & Estudis Avacats"
10.1103/PhysRevLett.126.141302,"Univ Chicago,Rutgers State Univ,Univ Calif Berkeley,Fermilab Natl Accelerator Lab"
10.1038/s41534-021-00512-0,"Free Univ Berlin,Rice Univ,Microsoft Res"
10.1016/j.ssc.2013.11.003,"King Saud Univ,Al Azhar Univ,Assiut Univ"
10.1103/PhysRevX.11.011032,"Rhein Westfal TH Aachen,Forschungszentrum Julich,Univ Basel,Delft Univ Technol"
10.1038/s41567-022-01776-9,Yale Univ
10.1038/s41567-023-02240-y,"Google Res,Leiden Univ,Covestro Deutschland AG,PASQAL SAS,Univ Massachusetts,Univ Connecticut,Auburn Univ,Univ Technol Sydney,Univ Calif Riverside,Columbia Univ,Univ Calif Santa Barbara"
10.1103/PhysRevA.89.042321,"Fudan Univ,Beijing Computat Sci Res Ctr,Univ Calif"
10.1088/1367-2630/18/2/023042,"MIT,Rhein Westfal TH Aachen"
10.1038/s42005-023-01283-0,"Shanghai Univ,Forschungszentrum Julich GmbH,Univ Santiago Chile USACH,CEDENNA,Univ Basque Country UPV EHU"
10.1038/ncomms3228,"Stanford Univ,Heriot Watt Univ,Natl Inst Informat,Univ Wurzburg,Univ Glasgow"
10.1364/PRJ.517294,"Peking Univ,Shanxi Univ,Hefei Natl Lab,Univ Washington,China Mobile Res Inst"
10.1109/ACCESS.2022.3212738,"Quantropi Inc,Deutsch Telekom AG,Calian Grp"
10.1103/PhysRevLett.115.140501,"Univ Calgary,Natl Inst Stand & Technol,CALTECH"
10.1103/PhysRevA.97.042103,"Univ Geneva,Imperial Coll London,Univ Oxford"
10.1021/acsnano.4c05251,"Ames Natl Lab,Univ Virginia,Fermilab Natl Accelerator Lab,Northwestern Univ,Rigetti Comp,Iowa State Univ,IIT"
10.1103/PhysRevB.99.134308,"Harvard Univ,Univ Belgrade"
10.1088/1402-4896/ad3518,"Farhangian Univ,Univ Kurdistan,Univ Tabriz"
10.1103/PhysRevB.87.024510,"Northwestern Univ,Harvard Univ"
10.1063/5.0137747,Loughborough Univ
10.1103/PhysRevLett.125.150401,"Nanjing Univ,Univ Guelph,Univ Waterloo,Iowa State Univ,Hong Kong Polytech Univ,Natl Univ Def Technol,Hong Kong Univ Sci & Technol"
10.1016/j.rinp.2020.102978,"Princess Nourah Bint Abdulrahman Univ,Imam Mohammad Ibn Saud Islamic Univ IMSIU,Abdus Salam Int Ctr Theoret Phys,Taif Univ,Sohag Univ"
10.1103/PhysRevA.108.042617,South China Normal Univ
10.1103/PhysRevLett.127.180501,"Univ Sci & Technol China,Shanghai Res Ctr Quantum Sci,Henan Key Lab Quantum Informat & Cryptog,QuantumCTek Co Ltd,Chinese Acad Sci"
10.1088/1361-6668/acdafe,"Gusu Lab Mat,Chinese Acad Sci"
10.1103/PhysRevA.105.012405,"Bayer Akad Wissensch,Tech Univ Munich,Munich Ctr Quantum Sci & Technol MCQST"
10.1021/acs.jctc.4c00155,"Tencent,Tsinghua Univ"
10.1007/s11128-018-2144-y,"Dukhov Res Inst Automat VNIIA,Natl Res Nucl Univ MEPhI,Skolkovo,Russian Acad Sci,Moscow Inst Phys & Technol,Natl Res Univ Higher Sch Econ"
10.1038/s41467-024-54520-7,"Ecole Polytech Fed Lausanne EPFL,Univ Basel,Delft Univ Technol,IST Austria,Politecn Milan"
10.1103/PhysRevB.87.174521,Yale Univ
10.1038/s41566-018-0339-5,"Max Planck Inst Quantum Opt,TOPTICA Photon AG,Huazhong Univ Sci & Technol"
10.3390/cimb46110721,"Univ Sonora,UNEPROP,Univ Guadalajara,Gen Hosp State Sonora"
10.1103/PhysRevApplied.13.034037,"D Wave Syst Inc,Simon Fraser Univ,Alibaba Grp"
10.1038/s41598-017-01509-6,"Albanova Univ Ctr,Delft Univ Technol,Univ Vienna,Austrian Acad Sci,Natl Res Council Canada,Politecn Milan,Micro Photon Devices,Univ Waterloo"
10.1103/PhysRevLett.131.193605,"Delft Univ Technol,Korea Res Inst Stand & Sci"
10.1021/nl9037399,"Univ Maryland,Carnegie Inst Sci"
10.1088/1367-2630/ab68fd,"IBM TJ Watson Res Ctr,Perimeter Inst Theoret Phys,Univ Waterloo"
10.1103/PRXQuantum.3.030309,"Seoul Natl Univ,Korea Inst Sci & Technol"
10.3390/app13179689,Qingdao Univ Technol
10.1038/srep07590,Univ Calif Santa Barbara
10.1038/s41467-023-37375-2,"Univ Innsbruck,Tech Univ Wien,Austrian Acad Sci,AQT"
10.1103/PhysRevLett.108.247213,"Univ Zaragoza,Univ Valencia,Univ Stuttgart,Univ Nottingham"
10.1039/d0sc05856d,"Univ Zaragoza,Univ Paris Saclay,Univ Paul Sabatier,Univ Grenoble Alpes,Ocean Univ China"
10.1088/1612-202X/aca02c,"Russian Acad Sci,Kazan Fed Univ"
10.1126/sciadv.abm5912,"Univ Chicago,Natl Inst Quantum Sci & Technol,Linkoping Univ,Argonne Natl Lab"
10.1021/acs.nanolett.7b02627,"IST Austria,Johannes Kepler Univ Linz"
10.1038/s41534-019-0186-3,"Austrian Acad Sci,Univ Innsbruck"
10.1364/OPTICA.439170,"Univ Sci & Technol China,Shanghai Res Ctr Quantum Sci"
10.1038/NPHOTON.2011.283,Univ Bristol
10.1088/1367-2630/15/6/063017,"Nokia Res Ctr,Univ Bristol,Univ Calif Santa Barbara"
10.1103/PhysRevB.107.075412,"D Wave Syst Inc,Simon Fraser Univ"
10.1038/s41534-021-00503-1,"Nankai Univ,Chinese Acad Sci,Zhejiang Univ,Univ Chinese Acad Sci,Tsinghua Univ,Shanghai Qi Zhi Inst"
10.1103/PhysRevA.109.042620,"Oak Ridge Natl Lab,Univ Tennessee"
10.1103/PhysRevB.87.155315,"Univ Cambridge,Univ Glasgow"
10.3390/nano11010072,"RMIT Univ,Swinburne Univ Technol,Natl Inst Quantum & Radiol Sci & Technol,Univ Melbourne,Tokyo Inst Technol"
10.1016/j.jcrysgro.2017.05.008,"Ruhr Univ Bochum,Univ Basel,Univ Lyon 1"
10.1038/s41586-019-1709-y,"Univ Basel,Univ Lyon,Ruhr Univ Bochum"
10.1140/epjd/e2014-50140-5,"Hubei Normal Univ,Nanjing Univ Posts & Telecommun"
10.1103/PhysRevA.101.062334,"Nanjing Univ,Shangrao Normal Univ,Hangzhou Normal Univ"
10.1007/s13538-024-01445-7,Univ Burdwan
10.1016/j.cjph.2023.02.003,"Sun Yat Sen Univ,QUDOOR Technol Inc"
10.1039/c6dt02258h,"Univ Valencia,Univ Austral Chile,Sorbonne Univ,Trinity Coll Dublin"
10.1007/s11433-017-9156-1,"Zhejiang Univ,Collaborat Innovat Ctr Adv Microstruct"
10.1088/1361-648X/aa6aac,"Tsinghua Univ,Univ Michigan"
10.1103/PhysRevB.85.115319,"Ocean Univ China,Univ Calif San Diego,Univ Maryland,Natl Inst Stand & Technol"
10.1088/1367-2630/ac2ae3,"Univ Calif Los Angeles,Southern Univ Sci & Technol,Univ Bielefeld,Univ New Mexico"
10.1038/s42005-019-0133-9,"NTT Corp,Univ Sci & Technol China"
10.1103/PhysRevLett.130.210602,Univ Southern Calif
10.1038/s41598-021-81503-1,Hongik Univ
10.1088/1367-2630/18/3/033015,"Univ Calgary,Canadian Inst Adv Res,Univ Sci & Technol China"
10.1103/PhysRevLett.126.187701,"Univ Calif Berkeley,Ist Nanosci CNR,Lawrence Berkeley Natl Lab"
10.1088/1402-4896/aadbfc,"Pontificia Univ Catolica Chile,Univ Mayor"
10.1016/j.rinp.2018.03.022,"Metropolitan State Univ,Joint Inst Nucl Astrophys Ctr Evolut Elements"
10.1088/1367-2630/16/8/083030,Nagoya Inst Technol
10.1103/PhysRevA.91.053845,Duke Univ
10.1103/PhysRevLett.126.100402,"Australian Res Council Ctr Excellence Engn Quantu,Univ Queensland,Univ Technol Sydney"
10.1038/ncomms7524,"Univ Grenoble Alpes,CEA Grenoble"
10.1109/TCAD.2024.3394368,"Tencent,Kyoto Univ"
10.1021/acs.nanolett.9b05295,"Rhein Westfal TH Aachen,Forschungszentrum Julich,Natl Inst Mat Sci"
10.1088/2058-9565/abf996,Xian Polytech Univ
10.1103/PhysRevB.105.L020405,Univ Melbourne
10.1126/sciadv.abj5030,"Leibniz Inst Forsch Verbund Berlin eV,Russian Acad Sci,Helmholtz Zentrum Dresden Rossendorf,Tech Univ Dresden"
10.1038/ncomms5065,Univ Ulm
10.1038/srep03405,Uppsala Univ
10.1088/1367-2630/ab9bc0,Virginia Tech
10.1038/s41467-018-04544-7,"RIKEN Ctr Emergent Matter Sci,JST,Tohoku Univ,Univ Tokyo,Ruhr Univ Bochum,SUNY Buffalo,RIKEN Cluster Pioneering Res,Univ Michigan"
10.1038/ncomms12912,"Pohang Univ Sci & Technol,Chung Ang Univ,Max Planck Inst Chem Phys Solid,RIKEN,NIST,Korea Atom Energy Res Inst"
10.35848/1347-4065/acac36,"Hitachi Ltd,Tokyo Inst Technol,Tokyo Tech Acad Super Smart Soc"
10.1021/acs.nanolett.2c04890,"Univ Washington,Princeton Univ,ASTAR,Humboldt Univ,Pacific Northwest Natl Lab"
10.1038/NPHYS1777,"Univ Waterloo,Univ Guelph,Univ Sydney"
10.1103/PhysRevLett.133.113204,"Tsinghua Univ,HYQ Co Ltd,Hefei Natl Lab,New Cornerstone Sci Lab"
10.1038/s41534-022-00534-2,"Ioffe Inst,Northern Arctic Fed Univ,Helmholtz Zentrum Dresden Rossendorf,Tech Univ Dresden,Tech Univ Dortmund"
10.1038/NPHYS2826,"Univ Wurzburg,Ioffe Phys Tech Inst,Bavarian Ctr Appl Energy Res ZAE Bayern"
10.1016/j.nanoen.2021.106310,"Univ Elect Sci & Technol China,Swansea Univ,Chinese Acad Sci,Univ Chinese Acad Sci"
10.1002/pssb.201100145,"UCL,Univ Sydney,Univ Utah,Florida State Univ"
10.1103/PhysRevB.83.161301,Univ Maryland
10.1007/s11128-016-1280-5,Univ Isfahan
10.1364/PRJ.7.000A40,"Shanghai Jiao Tong Univ,Univ Sci & Technol China"
10.1088/1612-2011/10/9/095202,Beijing Normal Univ
10.1088/1674-1056/ac6017,"SSF IEU,Univ Sci & Technol China"
10.1038/s41534-020-00317-7,"Nanjing Univ,Southern Univ Sci & Technol"
10.1103/PhysRevLett.126.170505,"Univ Sci & Technol China,Shangrao Normal Univ,Nankai Univ"
10.1103/PhysRevA.98.011802,"Univ Michigan,Naval Res Lab,Aerosp Corp,CALTECH"
10.1038/srep01394,"Basque Country Univ EHU UPV,Univ Vienna,Univ So Calif"
10.1063/5.0156358,"Polish Acad Sci,Leiden Univ"
10.1109/JSTQE.2014.2321523,Beijing Univ Posts & Telecommun
10.1103/PhysRevB.89.205439,"Budapest Univ Technol & Econ,Hungarian Acad Sci,Eotvos Lorand Univ"
10.1103/PhysRevA.110.022404,Univ Tokyo
10.1038/s41598-018-34890-x,Univ Jinan
10.1364/OPTICA.486361,"MITRE Corp,MIT,Sandia Natl Labs,Univ Arizona,Brookhaven Natl Lab"
10.1103/PhysRevApplied.21.014019,"Princeton Univ,Univ Calif Los Angeles"
10.1038/s41467-021-27900-6,Tencent
10.1038/s41565-024-01770-7,"Aalto Univ,Univ Helsinki,Univ Autonoma Madrid,CSIC,Univ Chicago,IST Austria,Univ Washington,Univ Copenhagen"
10.1088/2058-9565/ac4423,"Rigetti Comp,Sandia Natl Labs,Univ Colorado"
10.1103/PhysRevLett.117.203002,"Univ Maryland,NIST"
10.3390/photonics9080583,"Hengyang Normal Univ,Hunan Normal Univ,Henan Normal Univ"
10.1103/PhysRevApplied.20.034066,"Univ New South Wales,Silicon Quantum Comp,Univ Basel,Psiquantum Ltd,Univ Queensland"
10.1103/PhysRevB.106.L220308,NTT Basic Res Labs & Res Ctr Theoret Quantum Phys
10.1103/PhysRevApplied.17.024053,Aarhus Univ
10.1103/PhysRevApplied.16.044042,"Univ Toronto,Harvard Univ,MIT,Intel Labs,Vector Inst Artificial Intelligence,Canadian Inst Adv Res"
10.1103/PhysRevB.84.201308,Duke Univ
10.1103/PhysRevLett.107.073601,"Chalmers,CSIC"
10.1038/s41534-023-00802-9,"Natl Taiwan Univ,RIKEN,QuTech,Netherlands Org Appl Sci Res TNO,Delft Univ Technol,Natl Ctr Theoret Sci"
10.1088/1367-2630/17/12/122003,"Univ Oxford,Univ Grenoble Alpes,Inst Neel"
10.1088/1367-2630/13/2/025018,Technion Israel Inst Technol
10.1103/PhysRevMaterials.8.036202,Univ Konstanz
10.1103/PhysRevLett.131.097002,Univ Grenoble Alpes
10.1007/s11128-019-2497-x,"Kim Il Sung Univ,Univ Sci"
10.1039/c5qi00142k,"Univ Valencia,Univ Paris 11,Florida State Univ,Jacobs Univ Bremen"
10.1007/s10773-021-04789-x,"Chinese Acad Sci,Univ Chinese Acad Sci,Hainan Univ"
10.1140/epjd/e2019-90642-x,"Chinese Acad Sci,Univ Chinese Acad Sci,Collaborat Innovat Ctr Quantum Matter,Songshan Lake Mat Lab"
10.1103/PhysRevApplied.15.064030,"Karlsruhe Inst Technol,Forschungszentrum Julich,Natl Univ Sci & Technol,Russian Quantum Ctr,CNRS,Univ Joseph Fourier,Univ Grenoble Alpes"
10.1103/PhysRevLett.121.040505,"UPMC Univ Paris 06,Univ Claude Bernard Lyon 1,Univ Paris Diderot,PSL Res Univ,INRIA Paris"
10.1103/PhysRevA.93.023643,Georgia Gwinnett Coll
10.1103/PhysRevApplied.19.054090,"Univ Washington,Sandia Natl Labs,Univ Oslo,Pacific Northwest Natl Lab"
10.4086/toc.2020.v016a011,"Cornell Univ,Univ Calif Berkeley"
10.1088/1367-2630/abd809,"Tokyo Med & Dent Univ,Natl Inst Adv Ind Sci & Technol"
10.1038/NPHYS1730,"Walther Meissner Inst Tieftemp Forsch,Tech Univ Munich,CSIC,Univ Zaragoza,Univ Augsburg,Univ Pais Vasco Euskal Herriko Unibertsitatea,IKERBASQUE"
10.1103/PhysRevApplied.21.064060,"Univ Sci & Technol China,Origin Quantum Comp Co Ltd,Hefei Comprehens Natl Sci Ctr"
10.1088/1674-1056/ad342c,"Taiyuan Univ,Shanxi Univ,Zhengzhou Univ"
10.1088/1367-2630/ac8cab,"Univ Innsbruck,MIT,Harvard Univ,Parity Quantum Comp GmbH"
10.1088/2058-9565/ab7d4c,"Univ Tennessee,Oak Ridge Natl Lab"
10.1103/PhysRevA.97.013633,"Natl Univ Singapore,Nanyang Technol Univ,UNS,Dipartimento Fis & Astron,CNR,Ist Nazl Fis Nucl,Univ Grenoble Alpes,CNRS"
10.1103/PhysRevApplied.20.064027,"Univ Southern Calif,Johns Hopkins Univ"
10.1088/1674-1056/ace15b,Nanjing Univ
10.1016/j.physb.2022.414079,COMSATS Univ Islamabad
10.1002/qute.202000140,South China Normal Univ
10.1103/PhysRevX.4.041041,"Univ London Imperial Coll Sci Technol & Med,Singapore Univ Technol & Design,Natl Univ Singapore,Univ Oxford"
10.1103/PhysRevX.4.021018,Hong Kong Univ Sci & Technol
10.1126/sciadv.ado6244,"Sapienza Univ Roma,Int Iberian Nanotechnol Lab INL,Univ Fed Fluminense"
10.1038/srep39110,"Univ Jinan,Jilin Univ"
10.1103/PRXQuantum.4.010323,"Princeton Univ,Univ Calif Santa Barbara,Delft Univ Technol,Univ Chicago,Rice Univ,Fathom Radiant"
10.1007/JHEP08(2021)170,Univ Durham
10.1364/OE.20.027510,"Stanford Univ,Heriot Watt Univ,Univ Wurzburg,Natl Inst Informat"
10.1103/PhysRevA.84.063834,"CSIC,Univ Pais Vasco Euskal Herriko Unibertsitatea,Chalmers Univ Technol,Basque Fdn Sci"
10.1103/PhysRevLett.132.020601,"Southern Univ Sci & Technol,Int Quantum Acad,Hefei Natl Lab"
10.1103/PhysRevA.106.032426,"Univ Guanajuato,Virginia Tech"
10.1016/j.aop.2015.06.015,"Sohag Univ,Abdus Salam Int Ctr Theoret Phys,Al Imam Mohammad Ibn Saud Islamic Univ IMSIU,McGill Univ,Univ Montreal"
10.1088/2632-2153/ad4f4d,"Univ Calif Berkeley,Forschungszentrum Julich,Lawrence Berkeley Natl Lab,Max Planck Inst Phys Komplexer Syst,Univ Regensburg,One Embarcadero Ctr"
10.1103/PhysRevX.6.041052,"Univ Rochester,Univ Calif Berkeley,Univ Grenoble Alpes,CNRS,Chapman Univ"
10.1038/s41567-023-02340-9,"IBM TJ Watson Res Ctr,Almaden Res Ctr Almaden"
10.1038/s41567-019-0605-6,"Chalmers Univ Technol,Indian Inst Sci,Max Planck Inst Sci Light"
10.1038/srep04083,"Shanxi Univ,Soochow Univ,RIKEN,Univ Michigan,Korea Univ"
10.1103/PhysRevApplied.20.044014,"Hangzhou Normal Univ,Wenzhou Univ,Zhejiang Univ"
10.1364/OE.27.008267,"Soochow Univ,Shanghai Univ,Lund Inst Technol"
